NEWST	NAME	ROLE	TITLE	POSITION	DURATION	DAYS	SUB_COUNT	TOTAL_VIEWS	TOPICS	Beautiful	OK	Funny	Unconvincing	Fascinating	Informative	Ingenious	Persuasive	Inspiring	Courageous	Obnoxious	Confusing	Longwinded	Jaw-dropping	Role_refine
p.1-1	Mary Norris	Copy editor	The nit-picking glory of The New Yorker's Comma Queen	TED2016	9:49	2016-02	1	92,346	Communication,Composing,Grammar,Journalism,Language,Storytelling,Writing,,	27	22	65	3	30	61	13	5	16	2	1	1	1	0	Media
p.1-2	Astro Teller	Entrepreneur, inventor, author	The unexpected benefit of celebrating failure	TED2016	15:32	2016-02	1	248,139	Big problems,Collaboration,Creativity,Design,Engineering,Exploration,Failure,Future,Global issues,Invention,Leadership,Motivation,Potential,Product design,Technology,,	2	17	1	1	41	37	48	14	110	16	7	2	6	9	Management
p.1-3	Paula Hammond	Medical researcher and educator 	A new superweapon in the fight against cancer	TED Talks Live	10:42	2015-11	3	206,960	Big problems,Biomechanics,Biotech,Cancer,Disease,Engineering,Genetics,Health,Invention,Medical research,Medicine,Microbiology,Nanoscale,Science,Technology,,	5	6	1	1	64	122	48	6	75	3	0	0	0	16	Science
p.1-4	Stephen Petranek	Technology forecaster 	Your kids might live on Mars. Here's how they'll survive	TED2015	17:14	2015-03	1	281,778	NASA,TED Books,Architecture,Biosphere,Climate change,Engineering,Environment,Exploration,Future,Global issues,Humanity,Industrial design,Invention,Life,Population,Potential,Prediction,Rocket science,Science,Space,Technology,Transportation,,	5	10	7	26	67	109	22	21	91	19	5	8	5	7	Science
p.1-5	Hugh Evans	Humanitarian	What does it mean to be a citizen of the world?	TED2016	16:56	2016-02	1	295,759	Activism,Big problems,Climate change,Collaboration,Communication,Community,Future,Global issues,Goal-setting,Government,Humanity,Identity,Inequality,Leadership,Live music,Policy,Politics,Social change,Social media,,	65	15	29	13	26	86	12	87	333	79	12	2	16	11	Public
p.1-6	Linus Torvalds	Software engineer	The mind behind Linux	TED2016	21:30	2016-02	2	507,148	Internet,Code,Communication,Computers,Data,Engineering,Interview,Invention,Programming,Technology,Web,,	56	48	92	3	177	246	50	15	304	49	0	10	29	14	Science
p.1-7	Robert Palmer	Campaign leader, Global Witness	The Panama Papers exposed a huge global problem. What's next?	Global Witness HQ	7:49	2016-04	9	378,728	Activism,Big problems,Business,Corruption,Economics,Global issues,Government,Identity,Inequality,Investment,Law,Money,News,Poverty,,	1	33	0	26	35	126	6	39	13	27	6	9	18	5	Public
p.1-8	Tabetha Boyajian	Astronomer	The most mysterious star in the universe	TED2016	13:46	2016-02	2	411,629	NASA,Planets,Astronomy,Exploration,Extraterrestrial life,Nature,Science,Technology,Universe,,	16	17	18	25	197	166	13	12	57	5	10	5	7	56	Science
p.1-9	Danielle Feinberg	Director of photography, Pixar	The magic ingredient that brings Pixar movies to life	TED Talks Live	12:04	2015-11	5	490,885	Art,Beauty,Code,Computers,Design,Entertainment,Film,Magic,Programming,Science,Technology,Visualizations,,	275	19	23	13	173	106	47	8	281	17	6	1	5	21	Art
p.1-10	Parag Khanna	Global strategist	How megacities are changing the map of the world	TED2016	20:34	2016-02	2	344,739	Internet,Big problems,Collaboration,Communication,Community,Development,Economics,Engineering,Environment,Future,Global issues,Government,Green,History,Humanity,Inequality,Infrastructure,Innovation,Investment,Map,Mobility,Policy,Politics,Pollution,Potential,Social change,Society,Transportation,Urban,Urban planning,Visualizations,War,World cultures,,	17	16	0	27	108	213	18	42	112	7	15	13	23	14	Science
p.1-11	Haley Van Dyck	Disrupter	How a start-up in the White House is changing business as usual	TED2016	15:15	2016-02	1	330,564	Internet,Big problems,Development,Future,Government,Health care,Innovation,Leadership,Potential,Society,Technology,,	24	11	8	11	21	99	11	23	96	26	14	9	8	6	Management
p.1-12	Adam Grant	Organizational psychologist	The surprising habits of original thinkers	TED2016	15:25	2016-02	5	1,625,935	Business,Creativity,Curiosity,Decision-making,Exploration,Failure,Innovation,Invention,Leadership,Motivation,Personal growth,Potential,Success,Work,,	47	39	438	21	248	612	123	280	1080	119	12	4	16	22	Humanist
p.1-13	Knut Haanaes	Strategist	Two reasons companies fail — and how to avoid them	TED@BCG London	10:38	2015-06	6	546,924	Business,Creativity,Curiosity,Goal-setting,Innovation,Motivation,Potential,Success,Work,,	3	43	12	7	27	194	12	64	122	33	7	9	14	4	Management
p.1-14	Lisa Nip	Synthetic biologist 	How humans could evolve to survive in space	TEDxBeaconStreet	12:51	2015-11	5	446,650	Planets,TEDx,Bacteria,Biology,Engineering,Environment,Evolution,Exploration,Future,Innovation,Intelligence,Microbiology,Nature,Potential,Science,,	31	43	11	39	84	159	15	22	110	20	7	5	10	10	Science
p.1-15	Dan Gross	Gun-control activist	Why gun violence can't be our new normal	TED2016	13:38	2016-02	3	329,875	Debate,Activism,Big problems,Children,Choice,Community,Future,Goal-setting,Government,Law,Leadership,Marketing,Parenting,Policy,Social change,Violence,,	123	24	1	112	109	480	10	969	1016	427	12	7	4	3	Public
p.1-16	Angélica Dass	Artist and photographer	The beauty of human skin in every color	TED2016	11:27	2016-02	8	516,967	Brazil,Slavery,Art,Beauty,Community,Creativity,Culture,Design,Global issues,Humanity,Identity,Photography,Race,Social change,Society,Visualizations,,	363	31	3	6	45	97	46	37	275	144	5	2	8	7	Art
p.1-17	Alex Kipman	Inventor	A futuristic vision of the age of holograms	TED2016	19:05	2016-02	4	712,809	NASA,Communication,Computers,Creativity,Design,Engineering,Exploration,Future,Innovation,Interface design,Invention,Microsoft,Potential,Prediction,Product design,Technology,Visualizations,,	97	61	10	42	323	177	92	11	170	6	25	11	41	208	Science
p.1-18	Siyanda Mohutsiwa	Writer	How young Africans found a voice on Twitter	TED2016	14:22	2016-02	4	317,142	Africa,Internet,Community,Democracy,Development,Future,Government,Identity,Leadership,Politics,Potential,,	33	20	17	3	35	72	12	24	173	54	0	0	2	1	Humanist
p.1-19	Latif Nasser	Radio researcher	You have no idea where camels really come from	TED Talks Live	12:27	2015-11	7	1,151,849	Ancient world,Animals,Biology,Biosphere,Curiosity,Environment,Evolution,History,Life,Nature,Paleontology,Science,,	44	29	344	18	302	302	51	37	113	11	15	4	22	64	Science
p.1-20	Carol Fishman Cohen	CEO and co-founder, iRelaunch	How to get back to work after a career break	TEDxBeaconStreet	12:01	2015-11	5	584,550	TEDx,Business,Culture,Economics,Personal growth,Success,Work,,	14	50	10	6	16	90	14	40	162	15	7	7	4	0	Management
p.1-21	Adam Foss	Juvenile justice reformer	A prosecutor's vision for a better justice system	TED2016	15:57	2016-02	5	852,920	Criminal Justice,Big problems,Choice,Compassion,Decision-making,Education,Government,Inequality,Law,Leadership,Policy,Race,Social change,Society,,	158	14	6	2	81	264	33	299	474	198	3	1	3	19	Public
p.1-22	Meron Gribetz	Founder and CEO, Meta	A glimpse of the future through an augmented reality headset	TED2016	10:54	2016-02	10	683,227	Senses,Augmented reality,Brain,Computers,Creativity,Cyborg,Demo,Design,Engineering,Entrepreneur,Innovation,Interface design,Invention,Neuroscience,Potential,Prediction,Product design,Technology,Visualizations,,	35	44	16	45	211	121	88	14	135	15	12	10	8	79	Management
p.1-23	Arthur Brooks	Social scientist, author 	A conservative's plea: Let's work together	TED2016	14:14	2016-02	7	478,139	Debate,Big problems,Business,Capitalism,Collaboration,Community,Democracy,Economics,Global issues,Government,Identity,Leadership,Philosophy,Policy,Politics,Social change,Society,,	29	37	14	51	41	102	17	104	228	60	16	13	11	7	Science
p.1-24	Jessica Ladd	Founder and CEO, Sexual Health Innovations	The reporting system that sexual assault survivors want	TED2016	5:59	2016-02	13	518,688	TED Fellows,Activism,Big problems,Crime,Design,Innovation,Interface design,Product design,Sex,Social change,Software,Violence,Women,,	48	23	0	30	14	166	72	114	112	83	15	4	6	10	Management
p.1-25	Tim Urban	Blogger	Inside the mind of a master procrastinator	TED2016	14:03	2016-02	16	3,100,919	Internet,Brain,Choice,Comedy,Decision-making,Entertainment,Funny,Goal-setting,Humor,Mind,Online video,Productivity,Time,Visualizations,Work,Writing,,	192	88	2445	32	549	803	607	453	1378	267	11	5	27	50	Media
p.1-26	Joe Gebbia	Designer, co-founder of Airbnb	How Airbnb designs for trust	TED2016	15:51	2016-02	13	1,090,977	Behavioral economics,Business,Collaboration,Community,Culture,Design,Economics,Entrepreneur,Future,Innovation,Potential,Privacy,Product design,Relationships,Social change,Technology,Urban planning,,	56	25	62	11	185	181	75	70	354	47	13	3	12	8	Art
p.1-27	Casey Gerald	American	The gospel of doubt	TED2016	18:19	2016-02	7	661,699	God,Big problems,Business,Capitalism,Community,Education,Faith,Inequality,Social change,Society,,	407	33	56	54	119	63	58	214	722	340	16	45	28	49	Public
p.1-28	Tshering Tobgay	Prime Minister of Bhutan	This country isn't just carbon neutral — it's carbon negative	TED2016	18:54	2016-02	12	1,006,802	Buddhism,Alternative energy,Beauty,Big problems,Biosphere,Climate change,Democracy,Development,Economics,Environment,Future,Global issues,Goal-setting,Government,Green,Happiness,Humanity,Innovation,Leadership,Nature,Politics,Pollution,Sustainability,Trees,World cultures,,	481	32	29	5	151	209	56	263	870	124	8	15	1	40	Vip
p.1-29	Mileha Soneji	Product designer	Simple hacks for life with Parkinson's	TEDxDelft	6:57	2015-02	19	529,203	TEDx,Creativity,Curiosity,Design,Empathy,Family,Illusion,India,Innovation,Invention,Mobility,Motivation,Product design,Simplicity,,	107	11	10	4	91	84	117	15	222	12	2	1	3	16	Art